ID_Code,dry_wt
DKR231124MICPOL_40C_sample_6,0.08
DKR231124WAHNOD_20C_sample_1,0.06
DKR231124WAHNOD_20C_sample_2,0.13
DKR231124WAHNOD_20C_sample_3,0.05
DKR231124WAHNOD_20C_sample_4,0.07
DKR231124WAHNOD_20C_sample_5,0.04
DKR231124WAHNOD_20C_sample_6,0.06
DKR231124WAHNOD_25C_sample_1,0.08
DKR231124WAHNOD_25C_sample_2,0.03
DKR231124WAHNOD_25C_sample_3,0.08
DKR231124WAHNOD_25C_sample_4,0.07
DKR231124WAHNOD_25C_sample_5,0.05
DKR231124WAHNOD_25C_sample_6,0.05
DKR231124WAHNOD_35C_sample_1,0.11
DKR231124WAHNOD_35C_sample_2,0.02
DKR231124WAHNOD_35C_sample_3,0.07
DKR231124WAHNOD_35C_sample_4,0.04
DKR231124WAHNOD_35C_sample_5,0.07
DKR231124WAHNOD_35C_sample_6,0.04
DKR231124WAHNOD_40C_sample_1,0.13
DKR231124WAHNOD_40C_sample_2,0.06
DKR231124WAHNOD_40C_sample_3,0.05
DKR231124WAHNOD_40C_sample_4,0.06
DKR231124WAHNOD_40C_sample_5,
DKR231124WAHNOD_40C_sample_6,0.05
JKS240702ERIMON_40C_sample_1,0.63
JKS240702ERIMON_40C_sample_2,0.725
JKS240702ERIMON_40C_sample_3,0.652
JKS240702ERIMON_40C_sample_4,1.609
JKS240702ERIMON_40C_sample_5,0.619
JKS240702ERIMON_40C_sample_6,0.927
JKL240702PROREP_40C_sample_1,0.262
JKL240702PROREP_40C_sample_2,0.24
JKL240702PROREP_40C_sample_3,0.267
JKL240702PROREP_40C_sample_4,0.137
JKL240702PROREP_40C_sample_5,0.187
JKL240702PROREP_40C_sample_6,0.226
JKS240702PROREP_40C_sample_1,3.385
JKS240702PROREP_40C_sample_2,5.353
JKS240702PROREP_40C_sample_3,2.167
JKS240702PROREP_40C_sample_4,0.893
JKS240702PROREP_40C_sample_5,3.729
JKS240702PROREP_40C_sample_6,4.87
JKS240702CANCON_40C_sample_1,0.469
JKS240702CANCON_40C_sample_2,1.116
JKS240702CANCON_40C_sample_3,0.572
JKS240702CANCON_40C_sample_4,0.848
JKS240702CANCON_40C_sample_5,0.501
JKS240702CANCON_40C_sample_6,0.96
JKS240702ERIMON_35C_sample_1,1.482
JKS240702ERIMON_35C_sample_2,0.94
JKS240702ERIMON_35C_sample_3,0.314
JKS240702ERIMON_35C_sample_4,0.565
JKS240702ERIMON_35C_sample_5,1.667
JKS240702ERIMON_35C_sample_6,0.554
JKL240702PROREP_35C_sample_1,0.239
JKL240702PROREP_35C_sample_2,0.274
JKL240702PROREP_35C_sample_3,0.352
JKL240702PROREP_35C_sample_4,0.239
JKL240702PROREP_35C_sample_5,0.23
JKL240702PROREP_35C_sample_6,0.181
JKS240702PROREP_35C_sample_1,5.113
JKS240702PROREP_35C_sample_2,9.227
JKS240702PROREP_35C_sample_3,9.245
JKS240702PROREP_35C_sample_4,2.033
JKS240702PROREP_35C_sample_5,2.886
JKS240702PROREP_35C_sample_6,3.808
JKS240702CANCON_35C_sample_1,0.343
JKS240702CANCON_35C_sample_2,1.38
JKS240702CANCON_35C_sample_3,0.583
JKS240702CANCON_35C_sample_4,0.652
JKS240702CANCON_35C_sample_5,0.94
JKS240702CANCON_35C_sample_6,1.07
JKS240702ERIMON_20C_sample_1,1.505
JKS240702ERIMON_20C_sample_2,1.201
JKS240702ERIMON_20C_sample_3,1.438
JKS240702ERIMON_20C_sample_4,0.792
JKS240702ERIMON_20C_sample_5,1.173
